ID,Date,Content,Username,Retweets,Likes,Replies,Quote Tweets,Hashtags
1.65821E+18,2023-05-15 20:41:30+00:00,The man wey go marry Hilda Baci go enjoyyyy. Fr,preciousczeb,0,1,0,0,
1.65821E+18,2023-05-15 20:41:28+00:00,"@ShehuSani wrote ""thank God Buhari didn't call Hilda Baci""  

This is coming after Hilda Baci set a new record of #100hr Guinness World Record, cooking marathon attempt by an individual.

#Persecondnews https://t.co/52ACchr6T8",persecondnewsng,1,2,0,1,"['100hr', 'Persecondnews']"
1.65821E+18,2023-05-15 20:41:26+00:00,"She's from Ghana oo or??

_______
Hajia 4Real Sheldon Guinness World Record Scam Shatta Eeii #Hildabacicookathon #hildabaci #100hrs Stonebwoy Canada Firestick https://t.co/3nL24qMT7i",blacctbwoy_,1,2,0,0,"['Hildabacicookathon', 'hildabaci', '100hrs']"
1.65821E+18,2023-05-15 20:41:25+00:00,"Headache didn't allow me scream as I planned to, but she did it!!!! 🥳

Well done, Hilda!!

To the assistant chef, well done, you did well, we see you!! 

This one's for Nigeria 🎉
#hildabaci #Hildabacicookathon",that_oron_girl,0,2,0,0,"['hildabaci', 'Hildabacicookathon']"
1.65821E+18,2023-05-15 20:41:21+00:00,Hilda Baci is so inspirational 🥺,bxbi_,1,2,0,0,
1.65821E+18,2023-05-15 20:41:17+00:00,"@IAmENISA Don’t get tired of praying and trying 

""Guinness World Record"" https://t.co/zPGxIFugqR",blox_UTD,0,0,0,0,
1.65821E+18,2023-05-15 20:41:14+00:00,"@hildabacicooks They have suspended Hilda baci personal account 

Why ?
#Hildabacicookathon https://t.co/OYQhVTcxZp",Ayanfe39,0,0,0,1,['Hildabacicookathon']
1.65821E+18,2023-05-15 20:41:12+00:00,Thank you so much Guinness 🥺 https://t.co/r4ikxkACSW,HildaaBaci,0,2,0,0,
1.65821E+18,2023-05-15 20:41:10+00:00,"Lets hear it for the Queen Chef, HILDA 🙌🙌
I will be next on that Guinness book

Hajia 4Real Sheldon Guinness World Record Scam Shatta Eeii #Hildabacicookathon #hildabaci #100hrs Stonebwoy Canada Firestick https://t.co/7OzdCC5n3l",Joshuankemz,3,49,0,0,"['Hildabacicookathon', 'hildabaci', '100hrs']"
1.65821E+18,2023-05-15 20:41:05+00:00,Finally Hilda baci congratulations 🎊🍾🎉 #GuinnessWorldRecord https://t.co/LyjT7Urz8u,CantStartover,0,0,0,0,['GuinnessWorldRecord']
1.65821E+18,2023-05-15 20:41:02+00:00,HILDA BACI ! 🍾,BK_Bimbo,0,0,0,0,
1.65821E+18,2023-05-15 20:40:50+00:00,"SHE DID IT 

The New Queen Hilda Baci 🥳 https://t.co/gOs6chBaRS",Hildathecook,0,1,0,0,
1.65821E+18,2023-05-15 20:40:50+00:00,Omo e be like say tomorrow I go write Hilda Baci for my answer sheet🥺,AddyUkay,1,26,4,0,
1.65821E+18,2023-05-15 20:40:50+00:00,"It’s official 💃🏾💃🏾💃🏾💃🏾

Hilda Baci has made history 

#Guinessbookofrecord 
#Hildabacicookathon",Anuoflagos_,0,4,0,0,"['Guinessbookofrecord', 'Hildabacicookathon']"
1.65821E+18,2023-05-15 20:40:46+00:00,"Hilda Baci don finally off gas! 🫕🍝🍜 

Akwa Ibom to the World!!! 🌍

#100hrs https://t.co/i0r48nfDox",iamEnyene,0,2,0,0,['100hrs']
